Discriminator Loss
1.0000000000 0.1080218256
2.0000000000 0.0174057353
3.0000000000 0.1444399804
4.0000000000 0.2501360774
5.0000000000 0.2344593704
6.0000000000 0.1829311550
7.0000000000 0.2124669105
8.0000000000 0.1856274307
9.0000000000 0.2356084883
10.0000000000 0.2282743752
11.0000000000 0.2790600061
12.0000000000 0.3090050220
13.0000000000 0.2765665054
14.0000000000 0.2853684425
15.0000000000 0.3298650384
16.0000000000 0.3681671321
17.0000000000 0.3626839519
18.0000000000 0.3028549850
19.0000000000 0.3759032786
20.0000000000 0.3785371184
21.0000000000 0.3475308418
22.0000000000 0.4745451808
23.0000000000 0.4026577771
24.0000000000 0.3574838638
25.0000000000 0.5291284919
26.0000000000 0.3168714643
27.0000000000 0.4580978155
28.0000000000 0.4847137034
29.0000000000 0.4471716285
30.0000000000 0.3832658529
31.0000000000 0.4157598019
32.0000000000 0.5511288047
33.0000000000 0.4422098100
34.0000000000 0.5887042284
35.0000000000 0.5472627878
36.0000000000 0.5371919274
37.0000000000 0.5202999711
38.0000000000 0.5228300095
39.0000000000 0.5616918802
40.0000000000 0.5366109014
41.0000000000 0.4813464880
42.0000000000 0.3605699539
43.0000000000 0.5485431552
44.0000000000 0.5160282254
45.0000000000 0.5795545578
46.0000000000 0.5785037279
47.0000000000 0.5391561985
48.0000000000 0.5476875305
49.0000000000 0.5473760962
50.0000000000 0.5676478148
51.0000000000 0.5574010611
52.0000000000 0.5568971634
53.0000000000 0.5145822763
54.0000000000 0.5667901039
55.0000000000 0.4737698734
56.0000000000 0.6318063736
57.0000000000 0.5228049755
58.0000000000 0.5327137709
59.0000000000 0.5369523764
60.0000000000 0.6018459797
61.0000000000 0.5741683245
62.0000000000 0.5301678777
63.0000000000 0.5702364445
64.0000000000 0.5672571063
65.0000000000 0.5338565111
66.0000000000 0.4841641188
67.0000000000 0.5695046186
68.0000000000 0.6126146913
69.0000000000 0.5580418706
70.0000000000 0.5852507353
71.0000000000 0.5607576370
72.0000000000 0.5509020090
73.0000000000 0.6235777140
74.0000000000 0.5636273623
75.0000000000 0.5932837725
76.0000000000 0.5622247458
77.0000000000 0.5483886600
78.0000000000 0.5706360340
79.0000000000 0.5651093721
80.0000000000 0.5302546620
81.0000000000 0.3844878078
82.0000000000 0.6424620152
83.0000000000 0.5940604210
84.0000000000 0.5385751724
85.0000000000 0.5264297724
86.0000000000 0.5679086447
87.0000000000 0.5641876459
88.0000000000 0.6190165281
89.0000000000 0.5664218068
90.0000000000 0.6051180363
91.0000000000 0.5934027433
92.0000000000 0.5920215845
93.0000000000 0.5526217818
94.0000000000 0.6060506701
95.0000000000 0.5375893116
96.0000000000 0.5976591110
97.0000000000 0.6051899195
98.0000000000 0.6328636408
99.0000000000 0.5995045900
100.0000000000 0.6351492405
