Discriminator Loss
1.0000000000 0.4133850634
2.0000000000 0.2195852697
3.0000000000 0.2259476781
4.0000000000 0.2054841816
5.0000000000 0.2690288424
6.0000000000 0.2284498513
7.0000000000 0.2496970594
8.0000000000 0.2560367584
9.0000000000 0.3099642396
10.0000000000 0.2782373428
11.0000000000 0.3036088049
12.0000000000 0.3058865368
13.0000000000 0.3058743477
14.0000000000 0.3247669935
15.0000000000 0.3172800541
16.0000000000 0.2830221355
17.0000000000 0.3519269228
18.0000000000 0.3851551414
19.0000000000 0.3297225535
20.0000000000 0.4057181478
21.0000000000 0.3657697439
22.0000000000 0.4166256785
23.0000000000 0.2598747611
24.0000000000 0.4583054781
25.0000000000 0.4895648062
26.0000000000 0.5116676092
27.0000000000 0.4567977190
28.0000000000 0.5063086152
29.0000000000 0.4701439440
30.0000000000 0.4787115753
31.0000000000 0.4815591574
32.0000000000 0.4774747491
33.0000000000 0.5137000680
34.0000000000 0.5484113693
35.0000000000 0.4725448191
36.0000000000 0.4850545526
37.0000000000 0.4926173091
38.0000000000 0.4928997755
39.0000000000 0.4779190421
40.0000000000 0.4779379368
41.0000000000 0.5265579224
42.0000000000 0.5410604477
43.0000000000 0.5342586040
44.0000000000 0.4955435395
45.0000000000 0.5134187937
46.0000000000 0.4259635210
47.0000000000 0.4486389756
48.0000000000 0.5603089333
49.0000000000 0.4676258564
50.0000000000 0.5518286228
51.0000000000 0.5224286914
52.0000000000 0.5001664758
53.0000000000 0.5136902332
54.0000000000 0.5676810145
55.0000000000 0.5608950257
56.0000000000 0.4508606195
57.0000000000 0.5588752031
58.0000000000 0.5656994581
59.0000000000 0.6097978354
60.0000000000 0.5950660706
61.0000000000 0.5316865444
62.0000000000 0.5772600770
63.0000000000 0.5272943974
64.0000000000 0.6056686640
65.0000000000 0.6296861768
66.0000000000 0.5613193512
67.0000000000 0.5748538971
68.0000000000 0.6392602921
69.0000000000 0.5988655686
70.0000000000 0.6240547299
71.0000000000 0.5617740154
72.0000000000 0.5361673236
73.0000000000 0.5672094822
74.0000000000 0.5704145432
75.0000000000 0.5773452520
76.0000000000 0.5598191023
77.0000000000 0.5867964029
78.0000000000 0.5835569501
79.0000000000 0.6057574749
80.0000000000 0.5858566761
81.0000000000 0.5648816824
82.0000000000 0.5460820198
83.0000000000 0.5792983770
84.0000000000 0.5741997957
85.0000000000 0.5528130531
86.0000000000 0.6219916344
87.0000000000 0.6021020412
88.0000000000 0.6153251529
89.0000000000 0.6175346375
90.0000000000 0.6523183584
91.0000000000 0.6043926477
92.0000000000 0.5306655169
93.0000000000 0.5784530640
94.0000000000 0.5840097070
95.0000000000 0.5664176941
96.0000000000 0.5423492193
97.0000000000 0.6278446913
98.0000000000 0.6517492533
99.0000000000 0.5918332338
100.0000000000 0.5735628009
